,UNS,STG,SCG,STR,LPR,PEG,N
0,very_low,-49,-45,-47,-49,-46,0
1,High,-41,-37,-37,-25,44,1
2,Low,-43,-39,-42,-24,-13,2
4,Low,-41,-37,-39,49,-22,4
5,Middle,-40,-30,-7,-39,20,5
6,Middle,-39,-35,-4,-20,10,6
7,very_low,-34,-43,-13,-9,-45,7
8,Low,-29,-31,-12,23,-21,8
9,High,-49,-45,3,-29,39,9
11,Low,-43,-39,4,-8,-16,11
12,Middle,-39,-35,5,29,-12,12
14,Middle,-29,-25,23,-19,14,14
15,High,-37,-33,28,-14,34,15
16,very_low,-44,-38,23,-48,-41,16
17,Low,-39,-20,-37,-41,-13,17
18,Low,-34,-13,-42,-22,-17,18
19,Middle,-29,-16,-22,0,10,19
20,Low,-37,-16,-27,29,-26,20
21,Middle,-31,-15,-10,-37,20,21
22,Middle,-39,-18,-16,-20,19,22
23,Low,-31,-14,-15,-7,-17,23
24,Low,-43,-16,-12,27,-21,24
25,High,-40,-15,21,-31,39,25
26,very_low,-45,-16,8,-24,-36,26
27,Low,-40,-19,13,-4,-21,27
28,High,-41,-12,15,45,10,28
29,High,-34,-17,33,-28,35,29
31,Low,-34,-15,28,16,-22,31
32,Low,-39,-19,23,27,-30,32
33,High,-31,-13,-43,-30,36,33
34,High,-29,0,-18,-18,32,34
36,Low,-39,-3,-25,23,-20,36
37,Low,-31,-5,-15,-41,-13,37
38,very_low,-40,-12,-16,-23,-46,38
39,Middle,-30,-7,-9,0,-1,39
40,Low,-47,-12,-11,27,-36,40
42,Middle,-35,4,8,-20,14,42
43,Middle,-31,-12,14,15,-21,43
44,very_low,-37,-10,18,-22,-42,44
45,Middle,-32,-9,33,-35,20,45
46,Middle,-39,-6,28,-18,16,46
47,High,-36,-6,38,-11,31,47
48,High,-31,-11,24,22,44,48
49,Middle,-40,6,-45,-31,21,49
50,Low,-43,5,-38,-20,-21,50
51,Middle,-26,25,-28,2,-1,51
52,Low,-40,10,-35,29,-41,52
53,High,-25,30,-15,-31,40,53
55,Low,-39,15,-14,-7,-20,55
56,Middle,-29,7,-11,35,-21,56
57,Middle,-40,15,19,-30,13,57
58,High,-31,6,10,-16,36,58
59,Low,-41,12,13,15,-36,59
60,Low,-40,16,6,26,-45,60
61,Middle,-43,32,25,-30,10,61
62,Middle,-34,34,31,-19,5,62
63,Low,-29,23,26,-1,-17,63
64,Middle,-25,12,29,31,-17,64
65,very_low,-24,-35,-44,-40,-31,65
66,very_low,-17,-25,-41,-23,-22,66
67,Middle,-20,-39,-28,6,5,67
68,Low,-20,-35,-35,-20,-14,68
69,Middle,-19,-37,-7,-47,21,69
70,Middle,-22,-33,-10,-20,11,70
72,very_low,-20,-30,-14,17,-38,72
73,Middle,-19,-25,5,-19,7,73
74,High,-20,-29,22,-16,32,74
75,very_low,-23,-27,3,-9,-36,75
76,Low,-22,-39,9,26,-36,76
77,Low,-21,-35,25,-39,-16,77
78,very_low,-24,-35,24,-23,-26,78
79,Low,-19,-25,39,-5,-17,79
80,Low,-17,-33,32,27,-22,80
81,Middle,-19,-20,-21,-37,21,81
82,Middle,-17,-13,-18,-20,16,82
83,Low,-24,-16,-32,-1,-20,83
85,very_low,-24,-15,-16,-29,-43,85
86,High,-16,-20,-9,-18,33,86
87,Low,-22,-14,-15,-8,-17,87
88,Low,-20,-16,-7,29,-28,88
89,Middle,-20,-15,5,-40,21,89
90,Middle,-23,-16,17,-20,10,90
91,Middle,-17,-19,8,29,-12,91
92,very_low,-23,-18,9,11,-37,92
94,High,-16,-13,42,-17,34,94
95,Low,-23,-14,39,13,-31,95
96,Low,-19,-20,26,28,-27,96
97,High,-23,-20,-17,-16,31,97
98,Middle,-20,-20,-18,-20,10,98
99,Low,-24,-18,-39,-7,-17,99
100,Low,-22,-16,-29,-1,-20,100
102,Middle,-19,-18,-16,-18,8,102
103,Low,-24,-19,-9,0,-19,103
104,Low,-19,-16,-16,27,-36,104
