,Unnamed: 0.1,Unnamed: 0.1.1,Alcohol,Malic.acid,Ash,Acl,Mg,Phenols,Flavanoids,Nonflavanoid.phenols,Proanth,Color.int,Hue,OD,Proline,Wine,N,Expect,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,Scalar_calc
0,37,153,-0.3842105263157896,-0.0948616600790512,0.0267379679144383,-0.1340206185567009,-0.4347826086956522,-0.8137931034482758,-0.9367088607594936,0.0188679245283018,-0.7981072555205047,-0.279863481228669,-0.7073170731707317,-0.5897435897435896,-0.6690442225392297,3,170,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,76.89037803066972
1,5,121,-0.2210526315789472,-0.8023715415019763,-0.0481283422459893,-0.2886597938144328,-0.6739130434782609,-0.2965517241379309,-0.8987341772151899,0.7735849056603772,-0.4700315457413249,-0.2883959044368601,-0.5609756097560975,-0.8241758241758241,-0.4693295292439372,3,135,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,76.58838818477871
2,1,117,-0.036842105263158,-0.758893280632411,0.0267379679144383,-0.2371134020618556,0.1304347826086955,-0.6344827586206896,-0.6160337552742616,-0.6981132075471699,-0.6656151419558359,-0.5187713310580206,-0.5447154471544715,-0.9853479853479852,-0.4978601997146933,3,131,0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,71.23236487060981
3,3,119,-0.0631578947368416,-0.3794466403162054,0.1122994652406415,0.3814432989690723,-0.3913043478260869,-0.8827586206896552,-0.6835443037974684,-0.4716981132075472,-0.7350157728706624,-0.2457337883959045,-0.7073170731707317,-0.934065934065934,-0.5977175463623395,3,133,0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,70.93321834173803
4,11,127,0.0,-0.1818181818181816,0.4331550802139039,0.0721649484536084,-0.4347826086956522,-0.6137931034482758,-0.9324894514767932,0.509433962264151,-0.7854889589905363,-0.4334470989761093,-0.5284552845528454,-0.238095238095238,-0.5406562054208274,3,141,0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,68.62228364575225
6,13,129,0.3105263157894735,-0.0395256916996047,0.4545454545454548,0.329896907216495,-0.4130434782608695,-0.6068965517241378,-0.9240506329113924,0.3962264150943395,-0.9116719242902208,-0.4761092150170649,-0.3333333333333332,-0.4212454212454212,-0.6547788873038516,3,143,0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,64.13438518820072
5,12,128,0.226315789473684,-0.2806324110671936,0.0588235294117647,-0.0309278350515462,-0.5869565217391304,-0.710344827586207,-0.9324894514767932,-0.0943396226415095,-0.8548895899053628,-0.2627986348122868,-0.6422764227642277,-0.1208791208791207,-0.2838801711840228,3,142,0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,63.64992486673642
7,2,118,-0.0263157894736836,-0.1106719367588932,0.1122994652406415,-0.0309278350515462,-0.2608695652173913,-0.7793103448275862,-0.628691983122363,-0.5849056603773586,-0.7350157728706624,-0.2969283276450511,-0.5772357723577235,-0.8901098901098902,-0.6405135520684736,3,132,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,62.9553517675195
9,10,126,-0.0473684210526315,-0.1225296442687747,0.3368983957219249,0.3814432989690723,-0.3260869565217391,-0.0758620689655172,-0.890295358649789,0.509433962264151,-0.7476340694006309,-0.3788395904436861,-0.3333333333333332,-0.3553113553113554,-0.5549215406562054,3,140,0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,58.53676833234495
8,17,133,0.5000000000000004,0.6996047430830039,-0.0695187165775401,-0.0309278350515462,-0.782608695652174,-1.0,-1.0,0.0188679245283018,-0.8296529968454258,-0.3822525597269625,-0.8373983739837398,-0.956043956043956,-0.8045649072753209,3,147,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,58.17049959332343
