,class,b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,N,Scalar_calc
0,d ,-2736,-4440,-5400,-1507,-300,-622,5700,-6360,-5480,2612,3844,5220,1905,711,1527,-2678,4874,4400,-3300,-2688,-2368,-1305,-2592,-3828,-2824,-3240,-4152,24,1151871783.5294125
1,d ,-1824,-5040,-5616,-3014,600,-1555,2850,-6360,-5480,1564,4264,5364,2600,-228,2286,-1357,4946,4460,-2348,-3164,-4656,-326,-3984,-4872,-2260,-3501,-4128,21,759358221.4117653
2,d ,-3420,-5040,-5616,-1644,-2100,-933,1520,-6625,-6576,3886,4527,5713,1641,2262,1176,-427,4810,4874,-4188,-1337,-840,-945,-2160,-1716,-3060,-1413,-2416,146,414468008.9411771
3,d ,-2964,-4920,-5616,-3425,-2100,-1866,1140,-6890,-6850,2958,4181,5268,3326,2391,2463,-278,5186,5278,-3200,-2478,-2664,-1884,-2328,-3624,-2772,-2223,-3096,50,407155781.4117655
4,d ,-2736,-5160,-5940,-1370,-2100,-1244,3420,-6095,-5480,2790,4403,5710,1677,2520,2196,-1504,4484,4192,-3132,-2429,-2160,-1350,-2232,-3720,-3036,-2457,-3456,4,346023114.41176534
5,d ,-4560,-6480,-6804,-1781,-2700,-622,1900,-6625,-6028,5008,5883,6998,1816,2864,951,-526,4776,4452,-4452,-1862,-1520,-864,-2256,-1884,-3420,-1431,-2408,164,338760805.2941183
6,d ,-2964,-5160,-5616,0,-2400,311,2470,-6625,-5754,2724,4545,5627,278,2613,-6,-1418,5006,4394,-1972,-3276,-2896,-197,-2352,-1980,-563,-2304,-2695,110,281089514.76470643
7,d ,-3420,-5520,-5184,-822,-3000,-933,190,-6890,-7398,3868,4850,5169,1287,3120,1161,269,4970,5410,-4124,-1092,-296,-1773,-2280,-2268,-3180,-1395,-2208,169,201557462.1176479
8,d ,-1368,-5040,-5616,-2192,600,-311,950,-6095,-5206,1470,4164,5342,1948,-231,1224,-414,4266,3782,-2376,-1302,104,-1194,-2088,-2460,-1584,-594,-1280,45,174357247.17647117
9,d ,-5244,-6120,-6480,548,-3900,-311,-1900,-7155,-6576,5282,5367,6438,189,4074,630,1264,5248,4876,-3928,-2086,-2920,-1968,-2951,-3084,-2896,-1817,-2512,149,140755015.6470595
10,d ,-3420,-5280,-5940,-3562,-2400,-3732,5130,-6360,-5754,2414,4276,5265,3014,2418,3534,-2907,4552,4104,-2452,-1708,-1920,-972,-2232,-3024,-1096,-270,-1056,177,136385416.4705891
11,d ,-4332,-4920,-5184,-4795,-3000,-3732,-1330,-6890,-6576,3586,4227,5115,3912,3366,4446,768,5258,5186,-2056,-3248,-5384,39,-3264,-4524,-1708,-2835,-3808,28,97631479.0588244
12,d ,-2508,-4800,-5724,-1096,-1800,-933,2090,-6360,-6302,1928,3974,5312,990,2076,1410,-1312,4476,4532,-1848,-1708,-1208,-951,-1968,-2028,-880,-1034,-1632,41,66160666.294118285
