,class,b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,N,Scalar_calc
0,o ,-456,-5280,-5724,-411,300,1555,-2850,-4505,-3562,1276,4718,5835,626,-162,-1215,1851,3114,2586,-3736,-826,64,-129,-1344,-912,-2544,-558,-1800,154,-333749741.493827
1,o ,-1140,-4800,-5400,-2055,300,-311,-1710,-3710,-2466,906,4085,5272,1841,111,1215,985,2930,2262,-1764,-3010,-4808,-249,-3816,-4728,-2616,-4058,-4720,12,-334219384.76543194
2,o ,-1824,-3240,-4104,4247,-3900,0,8170,-3445,-822,1366,2819,3852,-2603,4149,327,-4353,2638,826,-760,-2520,-776,-411,-2640,-2052,-440,-2313,-2608,92,-345763239.3580246
3,o ,-2052,-5520,-5184,137,-600,1866,-760,-5830,-4384,1928,4801,5147,-112,732,-1629,388,4136,3160,-2972,-1603,-1304,-255,-1536,-924,-1699,-1179,-1776,122,-411544879.5061727
4,o ,1140,-6240,-6480,-411,-1500,0,2850,-5830,-3014,-86,5552,6541,705,1644,258,-1095,4160,2234,-4008,-938,-360,-366,-1440,-1032,-2812,-792,-2031,157,-492195105.8518517
5,d ,-1368,-5040,-5616,-2192,600,-311,950,-6095,-5206,1470,4164,5342,1948,-231,1224,-414,4266,3782,-2376,-1302,104,-1194,-2088,-2460,-1584,-594,-1280,45,-500556627.0370368
6,d ,-2736,-4440,-5400,-1507,-300,-622,5700,-6360,-5480,2612,3844,5220,1905,711,1527,-2678,4874,4400,-3300,-2688,-2368,-1305,-2592,-3828,-2824,-3240,-4152,24,-533725731.5555551
7,d ,-1824,-5040,-5616,-3014,600,-1555,2850,-6360,-5480,1564,4264,5364,2600,-228,2286,-1357,4946,4460,-2348,-3164,-4656,-326,-3984,-4872,-2260,-3501,-4128,21,-551312388.2469133
8,o ,-3876,-5160,-5832,-8083,-5400,-7153,-6460,265,0,3022,4149,5084,5892,5493,6846,3351,-342,58,-2288,-2485,-2464,336,-3264,-3072,-644,-1404,-2024,56,-553167886.987654
9,d ,-2964,-5160,-5616,0,-2400,311,2470,-6625,-5754,2724,4545,5627,278,2613,-6,-1418,5006,4394,-1972,-3276,-2896,-197,-2352,-1980,-563,-2304,-2695,110,-603174620.5802467
