,target,A,P,C,LK,WK,A_Coef,LKG,N
0,0,-434,15,552,-96,-95,-2389,-942,0
1,0,-700,-390,1248,-932,10,-3592,-1734,1
2,0,-1113,-1110,2898,-1984,30,-1911,-2127,2
3,0,-1428,-1335,2242,-1852,240,-2351,-2187,3
4,0,182,240,2787,-516,1155,-3255,-1077,4
5,0,-1050,-930,2214,-1604,-95,-2148,-1734,5
6,0,-833,-510,1166,-896,-360,-1024,-945,6
7,0,-1239,-1095,1938,-1468,-145,-1910,-1602,7
8,0,525,945,807,1064,670,-2570,1029,8
9,0,392,630,1725,388,870,-2641,-3,9
11,0,-1295,-1005,1145,-1396,-650,-2893,-1599,11
12,0,-1393,-1215,1725,-1392,-660,-624,-2388,12
14,0,-1498,-1170,786,-1220,-1085,-1678,-2127,14
15,0,-903,-825,2504,-1744,10,-425,-2259,15
16,0,-1323,-1500,3815,-2672,260,624,-2259,16
17,0,-133,-120,2953,-1040,915,-3011,-1464,17
18,0,-826,-930,3608,-2328,675,-2843,-2655,18
19,0,-2212,-1890,386,-2244,-1410,-508,-1860,19
20,0,-1204,-645,-317,-516,-1010,-1538,-1074,20
21,0,-1239,-855,634,-1068,-815,-1922,-945,21
22,0,0,105,2470,-676,880,-3844,-1329,22
24,0,-609,-105,186,8,-430,-2819,-1599,24
26,0,-2002,-1605,75,-1568,-1525,-1237,-2127,26
27,0,-2198,-1740,-455,-1568,-1875,-2106,-1995,27
28,0,-1239,-975,1311,-984,-550,-1856,-1488,28
29,0,-1701,-1215,-179,-1084,-1330,-1079,-1311,29
30,0,-1904,-1515,220,-1332,-1780,-3754,-1434,30
31,0,-273,165,648,-120,200,-1198,-918,31
32,0,-1253,-630,-696,-280,-725,-690,-705,32
33,0,-1358,-990,676,-808,-905,-2486,-1566,33
34,0,-581,-225,1028,-300,-15,-2481,-522,34
36,0,224,660,717,156,665,-1787,-21,36
37,0,839,825,3098,180,1760,-1654,-150,37
38,0,-756,-465,1331,-524,-215,-1498,-675,38
39,0,-1120,-990,2166,-1560,-165,2075,-1599,39
40,0,-1638,-1470,1662,-1756,-875,-2023,-1068,40
42,0,-1904,-1920,2615,-2596,-650,-2149,-2253,42
43,0,-266,45,1311,360,325,101,-18,43
45,0,-1456,-1185,1131,-1644,-880,-3050,-1719,45
46,0,-364,-105,1593,-344,310,-3243,-1206,46
47,0,-623,-405,1745,-868,230,-1652,-1077,47
48,0,-763,-465,1304,-968,-200,-1906,-1269,48
49,0,-714,-240,317,-436,-365,-2481,-549,49
50,0,-1015,-645,834,-808,-295,-635,-1170,50
51,0,-70,120,2021,-452,515,983,-1194,51
52,0,-973,-330,-634,-288,-1090,-494,-414,52
53,0,-1085,-825,1386,-1132,-660,-1282,-930,53
54,0,-952,-345,-503,-184,-1090,-3129,-141,54
55,0,-595,-90,193,-340,-595,-2677,-285,55
56,0,-994,-720,1297,-1596,230,-1808,-1470,56
